index,source,target,llama_fewshot
169,"എന്റെ മകന് 3 വയസ്സുണ്ട്, അയാൾക്ക് ഈ ടാബ്‌ലെറ്റ് ഇഷ്ടമാണ്. ഇത് വളരെ വിദ്യാഭ്യാസപരവും പണത്തിന് വിലയുള്ളതുമാണ്",My son is 3 and he loves this tablet. It is very educational and worth the money,My 3-year-old son loves this tablet. It is very educational and worth the money.
170,ഇതൊരു മികച്ച വായനക്കാരനാണ്. ഒരു ടാബ്‌ലെറ്റ് എന്ന നിലയിൽ ഇത് എന്റെ ഐപാഡിന് പകരമാവില്ല,This is a great reader. As a tablet it will not replace my iPad,This is a great reader. It's not a good replacement for my iPad as a tablet.
171,"മികച്ച ഇ-റീഡർ ഇന്ന് ലഭ്യമല്ല. ഇതിന് കുറച്ച് കൂടുതൽ ചിലവ് വരും, പക്ഷേ ബിൽഡ് ക്വാളിറ്റിയാണ് ഏറ്റവും മികച്ചത്.","There is no better E-reader available today. It costs a bit more, but the build quality is the best.","The best e-reader is not available today. It costs a bit more, but the build quality is the best."
172,ഈ ടാബ്‌ലെറ്റ് കരുത്തുറ്റതും ഗെയിമുകൾക്കും പഠനത്തിനും ഒപ്പം എന്റെ കുട്ടികൾക്ക് മികച്ചതുമാണ്.,This tablet is sturdy and great for my kids with games and learning.,"This tablet is powerful and great for both games and learning, and it's perfect for my kids."
173,"മികച്ച ടാബ്‌ലെറ്റ്, മികച്ച വില. നിങ്ങളുടെ കുട്ടിക്ക് അനുയോജ്യമായ സമ്മാനം. എന്റെ മകൾ അത് ഇഷ്ടപ്പെടുന്നു.","Great tablet, great price. Perfect gift for your child. My daughter loves it.","Great tablet, great price. A perfect gift for your child. My daughter loves it."
174,"ഇത് സജ്ജീകരിക്കാൻ വളരെ എളുപ്പമായിരുന്നു, കൂടാതെ പ്രിന്റ് കൂടുതൽ വലുതായി ക്രമീകരിക്കാനും കഴിയും. 78 വയസ്സുള്ള എന്റെ അച്ഛൻ സാങ്കേതികവിദ്യയിലെ തന്റെ ആദ്യ അനുഭവത്തിൽ ശരിക്കും സന്തുഷ്ടനായിരുന്നു. അവൻ ഇപ്പോൾ നെറ്റിൽ സർഫ് ചെയ്യുകയും ഓൺലൈനിൽ വാർത്തകൾ വായിക്കുകയും ചെയ്യുന്നു. അതിയായി ശുപാര്ശ ചെയ്യുന്നത്.",This was so easy to set up and the print can easily be adjusted to extra large. My 78 year old dad was really happy with his first experience with technology. He is now surfing the net and reading news online. Highly recommended.,"It was very easy to set up, and you can also print more pages. 78-year-old my father was truly delighted with his first experience in technology. He is now surfing the net and reading news online. Highly recommended."
175,"വളരെ സൗകര്യപ്രദവും തികഞ്ഞ വലിപ്പവും കണ്ണുകൾക്ക് എളുപ്പവുമാണ്. പേപ്പർബാക്ക് വായിക്കുന്നത് ഞാൻ ഒരിക്കലും നിർത്തില്ല, പക്ഷേ ഇത് വ്യത്യസ്ത പുസ്തകങ്ങളുടെ ഒരു ലൈബ്രറി വായിക്കുന്നത് കൂടുതൽ സൗകര്യപ്രദമാക്കുന്നു.","very convenient, perfect size and easy on the eyes. I never though I would stop reading paperbacks, but this makes reading a library of different books much more convenient.","It is very convenient and the perfect size for the eyes. I never stopped reading paperbacks, but reading a library of different books is even more convenient."
176,എന്റെ മകൾക്കും സഹോദരിക്കും അനിയത്തിക്കും അമ്മായിയമ്മയ്ക്കും വേണ്ടി വാങ്ങിയ ആമസോൺ ഗുളികകൾ എനിക്ക് വളരെ ഇഷ്ടമാണ്. ആകർഷണീയമായ ഉൽപ്പന്നവും ഉപയോഗിക്കാൻ എളുപ്പവുമാണ്.,"I love amazon tablets that I bought them for my daughter, sister, sister in law and mother in law. Awesome product and easy to use.","I bought Amazon tablets for my daughter, sister, niece, and aunt. I really like them. They are attractive products and easy to use."
177,ഇത് തീർച്ചയായും ഒരു മികച്ച വാങ്ങലാണ്. ഇത് തീർത്തും ഫയർ സ്റ്റിക്കിൽ നിന്നുള്ള ഒരു നവീകരണമാണ്.,Its definitely a great purchase. Its definitely an upgrade from the fire stick.,This is a great purchase. It's a complete upgrade from the Fire Stick.
178,സ്റ്റോർ ജീവനക്കാർ വളരെ സഹായിച്ചു. ഒരു മികച്ച ടാബ്‌ലെറ്റ് തിരഞ്ഞെടുക്കാൻ എന്നെ സഹായിക്കാൻ അവർക്ക് മതിയായ അറിവുണ്ടായിരുന്നു.,Store employees were very helpful. They had enough knowledge to help me select a great tablet.,The store employees were very helpful. They had enough knowledge to assist me in choosing a great tablet.
179,ന്യൂസ് ഫ്ലാഷും എന്റെ ട്യൂണുകളും കേൾക്കാൻ ഞാൻ ഇഷ്ടപ്പെടുന്നു. കുട്ടികളും അത് ആസ്വദിക്കുന്നു,I like to hear the news flash plus my tunes. The kids have fun with it too,I like listening to news flashes and my tunes. The kids also enjoy it.
180,"എന്റെ കൊച്ചുമക്കളിൽ ഒരാൾക്ക് സമ്മാനമായി ഞാൻ ഈ കിൻഡിൽ ഫയർ ടാബ്‌ലെറ്റ് വാങ്ങി. ഒരു ടാബ്‌ലെറ്റിൽ അവർ ആഗ്രഹിച്ച എല്ലാ സവിശേഷതകളും ഇതിലുണ്ട്, കൂടാതെ ഇത് ഉപയോഗിക്കാൻ വളരെ എളുപ്പമാണ്!","I purchased this Kindle Fire tablet as a gift for one of my grandkids. It has all the features they wanted on a tablet, plus it's so easy to use!","I bought this Kindle Fire tablet as a gift for one of my little nephews. It has all the features he wanted in a tablet, and it's very easy to use!"
181,"ഫയർ ടിവി ബോക്സിന് നിരവധി ഗുണങ്ങളുണ്ട്. ഇതിന് ഇഥർനെറ്റ് കണക്ഷനും യുഎസ്ബി പോർട്ടും ഉണ്ട്. ഒരു വയർലെസ് കീബോർഡ് അല്ലെങ്കിൽ ഫ്ലാഷ് ഡ്രൈവ് ചേർക്കുക. ഇതിന് 4K ഉണ്ട്, അത് വേഗതയുള്ളതാണ്. ഫയർ സ്റ്റിക്കിന് കൂടുതൽ ന്യായമായ വിലയുണ്ട്, എന്നാൽ അത് അത്ര വേഗതയുള്ളതല്ല കൂടാതെ USB അല്ലെങ്കിൽ ഇഥർനെറ്റ് കണക്ഷനൊന്നും ഇല്ല. നിങ്ങൾക്ക് കുറച്ച് രൂപ കൂടുതലുണ്ടെങ്കിൽ, ഫയർ ടിവി ബോക്സിലേക്ക് പോകുക.","There are so many advantages to the Fire TV box. It has an Ethernet connection and a USB port. Add a wireless keyboard or flash drive. It's got 4K and it is fast. The fire stick is more reasonable priced but it's not as fast and doesn't have any USB or Ethernet connection. If you have a few bucks more, go for the Fire TV box.","The Fire TV Box has many advantages. It has an Ethernet connection and a USB port. Add a wireless keyboard or a flash drive. It has 4K, which is fast. The Fire Stick has a more reasonable price, but it's not as fast and doesn't have a USB or Ethernet connection. If you have a bit more money, go for the Fire TV Box."
182,"ഞാൻ എന്റെ പ്രതിധ്വനി വളരെ ആസ്വദിക്കുന്നു. എളുപ്പമുള്ള വാർത്തകളും കാലാവസ്ഥാ സ്ഫോടനങ്ങളും. സംഗീതം, ഗെയിമുകൾ, നിസ്സാരകാര്യങ്ങൾ. എന്നാൽ ആപ്പുകൾ പ്രവർത്തനക്ഷമമാക്കുന്നത് ബുദ്ധിമുട്ടാണ്. മൊത്തത്തിൽ എന്റെ വാങ്ങലിൽ വളരെ സന്തോഷമുണ്ട് ഒപ്പം അലക്‌സയുമായി സംവദിക്കുന്നത് ആസ്വദിക്കുകയും ചെയ്യുന്നു.","I very much enjoy my echo. Easy news and weather blasts. Music ,games and trivia. But it can be difficult to get apps to work. Overall very happy with my purchase and enjoy interacting with alexa.","I really enjoy my echo. Easy news and weather updates. Music, games, and other things. But making apps work is a bit of a hassle. Overall I'm very happy with my purchase and also enjoy talking to Alexa."
183,"ഫയർ സ്റ്റിക്ക് മികച്ച 4k നിലവാരം നൽകുന്നു, ഉപയോഗിക്കാൻ എളുപ്പമാണ്",The fire stick provides excellent 4k quality and is easy to use,"Fire Stick provides excellent 4K quality, easy to use."
184,എന്റെ 11 വയസ്സുള്ള മകൾ ഇത് ഇഷ്ടപ്പെടുന്നു !! ഈ ഉൽപ്പന്നം പ്രതീക്ഷകളെ മറികടന്നു.,My 11 year old daughter loves it!! This product surpassed expectations.,My 11-year-old daughter loves it !! This product exceeded my expectations.
185,സജ്ജീകരിക്കാനും ഉപയോഗിക്കാനും എളുപ്പമാണ്. കുറഞ്ഞ നിരക്കിലുള്ള സബ്‌സ്‌ക്രിപ്‌ഷനുകൾ ഉപയോഗിച്ച് നിങ്ങൾക്ക് മികച്ച ഷോകളും സിനിമകളും ലഭിക്കും,easy to setup and use. with low cost subscriptions you can get great shows and movies,It is easy to set up and use. You can get great shows and movies with low-cost subscriptions.
186,ഈ ഉൽപ്പന്നം എന്റെ മകൾക്ക് മികച്ച പഠന ഉപകരണമാണ്,This product is a perfect learning tool for my daughter,This product is a great learning tool for my daughter.
187,"അത് പ്രവർത്തിക്കുന്നു. ലൈറ്റുകൾ, തെർമോസ്റ്റാറ്റുകൾ എന്നിവ നിയന്ത്രിക്കാനും റേഡിയോ/പോഡ്കാസ്റ്റുകൾ/സംഗീതം കേൾക്കാനും ടൈമറുകൾ/അലാറങ്ങൾ സജ്ജീകരിക്കാനും ഞാൻ ഇത് ഉപയോഗിക്കുന്നു.","it just works. I use it to control lights, thermostats, listen to radio/podcasts/music and set timers/alarms.","It works. I use it to control lights, thermostats, and to listen to radio/podcasts/music and to set timers/alarms."
188,"കിൻഡിൽ ഞങ്ങളുടെ വീട്ടിൽ വളരെയധികം ഉപയോഗിക്കുന്നു, 30 ദിവസത്തിന് ശേഷം ഉപകരണത്തിൽ ഞങ്ങൾക്ക് ഒരു പ്രശ്‌നവും ഉണ്ടായില്ല",The Kindle gets a lot of use in our house and we've not had a problem with the device after 30 days,"Kindle is used a lot in our house, 30 days after the device we had no issues with it."
189,"ശരി, ഒരു തുടക്കക്കാരന് ഇത് ശരിയാണെന്ന് ഞാൻ കരുതുന്നു. ഒരു സുഹൃത്തിനും ഞാൻ ഈ ഉൽപ്പന്നം ശുപാർശചെയ്യും.","Okay, I think it's okay for a beginner. I would recommend this product too a friend.",I think this is a great product for a beginner. I would recommend this product to a friend.
190,എന്റെ 8 വയസ്സുകാരൻ ടാബ്‌ലെറ്റ് ഇഷ്ടപ്പെടുന്നു. അവൾക്ക് നാവിഗേറ്റ് ചെയ്യാൻ എളുപ്പമാണ്. അവൾ എളുപ്പത്തിൽ ആപ്പുകൾ ഡൗൺലോഡ് ചെയ്യുന്നു. പ്രായത്തിന് അനുയോജ്യമായവ. അവൾക്ക് മജന്ത നിറം ഇഷ്ടമാണ്. ഏറ്റവും മികച്ചത് വിലയായിരുന്നു. വളരെ താങ്ങാവുന്ന വില.,My 8 year old loves the tablet. It is easy for her to navigate. She has been downloading apps with ease. Which are age appropriate. She loves the magenta color. Best of all was the price. Very affordable.,My 8-year-old loves the tablet. It's easy for her to navigate. She easily downloads apps. Suitable for her age. She likes the bright color. It was the best value for the price. Very affordable.
191,ഇത് തികച്ചും ഇഷ്ടമാണ്! ബാറ്ററി ലൈഫ് നീണ്ടുനിൽക്കുകയും ബാക്ക് ലൈറ്റ് ഉള്ള മികച്ച സ്‌ക്രീൻ.,Absolutely love it! Battery life lasts long and great screen with the back light.,I really love it! The battery life lasts long and it has a great screen with a backlight.
192,"ഞാൻ ഈ ഇനത്തിൽ ഉറങ്ങി. ഇപ്പോൾ എനിക്ക് ഒരു നെസ്റ്റ് തെർമോസ്റ്റാറ്റ് ഉണ്ട്, അത് എന്റെ പുതിയ ഉറ്റ സുഹൃത്താണ്.",I slept on this item. Now that I have a Nest thermostat it is my new best friend.,"I finally have one of these. Now I have a Nest thermostat, and it's my new best friend."
193,"മൊത്തത്തിൽ ഇതൊരു നല്ല സ്ട്രീമിംഗ് ഉപകരണമാണ്. പ്രോ: മിക്കവാറും എല്ലാ സേവനങ്ങളും ലഭ്യമാണ്. ഇവിടെ SlingTV പ്രകടനം Nexus TV, Fire Stick അല്ലെങ്കിൽ Chromecast എന്നിവയേക്കാൾ മികച്ചതാണ്. കുറച്ച് കാഷ്വൽ ഗെയിമിംഗ് ചെയ്യാം. SlingTV ബെസ്റ്റ് ബൈ ഡീലിനൊപ്പം കുറഞ്ഞ നിരക്കിൽ ലഭ്യമാണ്. ദോഷങ്ങൾ: ചിലപ്പോൾ ഹോം സ്ക്രീനിലേക്ക് മടങ്ങുന്നു. ഉൾപ്പെടുത്തിയ കൺട്രോളർ ചിലപ്പോൾ വിച്ഛേദിക്കുന്നു. UI റോക്കുവിനേക്കാൾ മികച്ചതാണ്, പക്ഷേ അത് കൂടുതൽ പറയുന്നില്ല.","Overall this is a good streaming device. Pro: Almost every service is available. SlingTV performance here is better than Nexus TV, Fire Stick, or Chromecast. Can do some casual gaming. Available cheap with the SlingTV Best Buy deal. Cons: Sometimes returns to home screen. Included controller sometimes disconnects. UI is better than Roku, but that isn't saying much.","Overall it's a good streaming device. Pros: almost all services are available. Here SlingTV is better than Nexus TV, Fire Stick or Chromecast. Some casual gaming can be done. SlingTV is available with the best buy deal at a lower rate. Cons: sometimes it goes back to the home screen. The included controller sometimes disconnects. The UI is better than Roku, but it doesn't say much."
194,മികച്ച ടാബ്‌ലെറ്റും ഉപയോഗിക്കാൻ വളരെ എളുപ്പവുമാണ്. കൂടാതെ നല്ല ബാറ്ററി ലൈഫും.,Great tablet and very easy to use. Also good battery life.,It is a great tablet to use and very easy to use. Plus it has a good battery life.
195,ഞാൻ എന്റെ അലക്സയെ സ്നേഹിക്കുന്നു. നിങ്ങൾക്ക് ഏതാണ്ട് എന്തും ചോദിക്കാം. എല്ലാ തരത്തിലുമുള്ള സംഗീതം കേൾക്കാൻ മികച്ചതാണ്. എനിക്ക് ഒരുപക്ഷേ ഗുഹയ്ക്കായി ഒരു അലക്സാ ഡോട്ട് ലഭിക്കും.,I Love my Alexa. You can ask almost anything. Great to hear music of all genre with. I will probably get an Alexa Dot for the den.,I love my Alexa. You can ask her almost anything. It's great for listening to all kinds of music. I might even get an Alexa DOT for my cave.
196,"ഈ വോയേജിനായി ഞാൻ വാങ്ങിയ വെള്ള കടലാസ് മാറ്റി കൊടുത്തു. ഇത് പേപ്പർ വൈറ്റിനേക്കാൾ കനം കുറഞ്ഞതും ഭാരം കുറഞ്ഞതും പിടിക്കാൻ എളുപ്പവുമാണ്. എനിക്ക് മുമ്പ് ഒരു നൂക്ക് ഉണ്ടായിരുന്നതിനാൽ ഇപ്പോഴും ആർക്കൈവ് സിസ്റ്റവുമായി പൊരുത്തപ്പെടുന്നു, ഒരു പഠന വക്രത. എന്നാൽ നൂക്കിനെക്കാൾ കിൻഡിൽ ഇന്റർഫേസ് എനിക്ക് ഇഷ്ടമാണ്, പുസ്തക നിർദ്ദേശങ്ങളും പുസ്തകങ്ങൾക്കായുള്ള ഷോപ്പിംഗും വളരെ മികച്ചതാണ്. എനിക്ക് നഷ്‌ടമായ ഒരേയൊരു കാര്യം, നിങ്ങൾക്ക് ശേഷിക്കുന്ന % ബാറ്ററി എന്താണെന്ന് കിൻഡിൽ നിങ്ങളോട് പറയുന്നില്ല, അത് ബാറ്ററി ചിഹ്നത്തിലെ ബാർ കാണിക്കുന്നു എന്നതാണ്.","I exchanged the paper white that I had bought for this Voyage. This is thinner, lighter and just easier to hold than the paperwhite. Still getting used to the archive system since I had a Nook before, bit of a learning curve. But I like the Kindle interface better than the Nook, the book suggestions and shopping for books is much better. The only thing I miss is that the Kindle doesn't tell you what % battery you have left, it just shows you the bar in the battery symbol.","I replaced the white paper with a waterproof one for this trip. It is thinner and lighter than paper and easier to hold. I had a Kindle before so it still syncs with my archive system, a nice feature. But I prefer the Kindle interface, the book recommendations and shopping for books are very good. The only thing I miss is that the Kindle doesn't tell you what percentage of the battery is left, it just shows a bar in the battery icon."
197,എന്റെ അലക്സയെ സ്നേഹിക്കൂ. വളരെ പ്രതികരിക്കുന്നതും സാങ്കേതികമായി പുരോഗമിച്ചതുമായ ഉൽപ്പന്നം.,Love my Alexa . Very responsive and technologically advanced product.,I love Alexa. Very responsive and technologically advanced product.
198,ഇതിനെക്കുറിച്ച് എനിക്ക് ഇഷ്ടപ്പെടാത്ത ഒന്നും ഞാൻ കണ്ടെത്തിയില്ല! ഞാൻ തിരയുന്നത് അത് മാത്രമാണ്!,I haven't found anything I don't like about this! It is just what I was looking for!,I really like everything about this! I haven't found anything I don't like! I'm just looking for this!
199,"എന്റെ മുത്തശ്ശിയെ എന്റെ മകനോടൊപ്പം സ്കൈപ്പ് ചെയ്യാൻ അനുവദിക്കാൻ എനിക്ക് ഫ്രണ്ട് ഫേസിംഗ് ക്യാമറയുള്ള എന്തെങ്കിലും ആവശ്യമായിരുന്നു. $40-ന് വിൽക്കുന്നു, അത് ചെയ്യുന്നതും വീഡിയോകൾ സ്ട്രീം ചെയ്യാൻ നിങ്ങളെ അനുവദിക്കുന്നതുമായ ഒരു ടാബ്‌ലെറ്റ്... മോഷ്ടിക്കുക. സാങ്കേതികവിദ്യ ഒരു യാത്രയാണ്.","I just needed something with a front facing camera to allow my grandmother to skype with my son. On sale for $40, a tablet that does that and allows you to stream videos...steal. Technology is a trip.","I really needed a device that would allow me to Skype with my grandmother along with my son. Something that had a front-facing camera was necessary for that. It's priced at $40, and it's a tablet that allows you to do that and stream videos... steal the technology."
200,ഇനി കേബിൾ ബില്ലുകളൊന്നുമില്ല - എനിക്ക് ആവശ്യമുള്ളതെല്ലാം ഇതിനൊപ്പം ലഭിക്കും !!!,No more cable bills - I get all I need with it !!!,No cable bills - everything I need comes with this !!!
201,"ഇത് എന്റെ മകൾക്കായി വാങ്ങി, അവൾ ഇത് ഇഷ്ടപ്പെടുന്നു! വിലയ്ക്ക് വലിയ മൂല്യം. മനോഹരമായ ചിത്രം, ക്ലാസിനും സോഷ്യൽ നെറ്റ്‌വർക്കിംഗിനും അവൾക്ക് ആവശ്യമായ എല്ലാ സവിശേഷതകളും ഇതിലുണ്ട്.",Bought this for my daughter and she loves it! Great value for the price. Beautiful picture and it has all the the features she needs for class and social networking.,"I bought this for my daughter, and she loves it! Great value for the price. It has a beautiful picture, and it has all the features she needs for class and social networking."
202,"ഉപയോഗിക്കാൻ എളുപ്പമാണ്, വളരെ മോടിയുള്ള, കിഡ് മോഡ് കൂടുതൽ സുരക്ഷിതമാണ്, വാങ്ങലുകൾക്കും രക്ഷാകർതൃ മോഡിനും ആവശ്യമായ പാസ്‌വേഡ്. മൊത്തത്തിൽ സ്വന്തമാക്കാൻ ഒരു അത്ഭുതകരമായ ടാബ്‌ലെറ്റ്.","Easy to use, very durable, kid mode extra safe, password needed for purchases and parental mode. All in all a wonderful tablet to own.","It is very easy to use, very user-friendly, kid mode is more secure, requires the necessary password for purchases and parental mode. Overall, an amazing tablet to own."
203,"എനിക്ക് ഒരു ചെറിയ കുട്ടിക്ക് എന്തെങ്കിലും ആവശ്യമായിരുന്നു, ബെസ്റ്റ് ബൈയിലെ ഒരു വിൽപ്പനക്കാരനിൽ നിന്നാണ് ഈ ടാബ്‌ലെറ്റ് എനിക്ക് നിർദ്ദേശിച്ചത്. കുട്ടിക്ക് അത് ഇഷ്ടമാണ്.",I needed something for a young kid and this tablet was suggested to me from a sales person at Best Buy. The kid loves it.,"I bought this tablet for a small child, it was recommended by a salesperson at Best Buy. The child likes it."
204,"പുതിയ കിൻഡിൽ ഞാൻ ആസ്വദിച്ചു, എന്നിരുന്നാലും, പഴയ പതിപ്പിനെപ്പോലെ എച്ച്ഡിഎംഐ പോർട്ട് ഇല്ലെന്നതിൽ ഞാൻ അങ്ങേയറ്റം നിരാശനായിരുന്നു.","I have enjoyed the new Kindle,however, was extremely disappointed that it does not have an HDMI port like the old version did.","I really enjoyed the new Kindle, however, I was thoroughly disappointed that it doesn't have an HDMI port like the old version."
205,"ഞാൻ വാങ്ങി, കുഴപ്പമില്ല, പക്ഷേ വിലയ്ക്ക് ഇനി ഉപയോഗിക്കരുത്, അത് നല്ലതാണ്","Bought i, was OK but don't use it anymore for the price it is good though","I bought it, no problem, but don't use it too much, it's good."
206,വ്യക്തിഗത ഉപയോഗത്തിനായി ഈ ടാബ്‌ലെറ്റ് വാങ്ങാൻ ഞാൻ ശുപാർശ ചെയ്യുന്നില്ല,I wouldn't recommend buying this tablet for personal use,I do not recommend buying this tablet for personal use.
207,"നിങ്ങളുടെ പ്രാരംഭ കിൻഡിൽ ലൈബ്രറി ഡൗൺലോഡ് ചെയ്‌തതിന് ശേഷം, ഉയർന്ന ക്രമീകരണത്തിന് അടുത്തുള്ള ബാക്ക്‌ലൈറ്റിനൊപ്പം ബാറ്ററി 2-3 ആഴ്‌ച നീണ്ടുനിൽക്കണം.","After your initial kindle library download, the battery should last 2-3 weeks with the backlight close to the highest setting.","After the initial download of your child's first Kindle library, the battery should last for 2-3 weeks with the backlight on the next highest setting."
208,"പരിമിതമായ ആപ്പുകൾ, സ്‌ക്രീൻ തൊടാൻ അത്ര എളുപ്പമല്ല. വിലയ്ക്ക് നല്ലത്.","Limited apps, screen not as easy to touch. Good for the price.","Limited apps, not easy to tap the screen. Good for the price."
209,"എന്റെ കിൻഡിൽ ഫയർ എങ്ങനെ ഉപയോഗിക്കണം എന്നതിനെക്കുറിച്ചുള്ള നിർദ്ദേശങ്ങളൊന്നും എനിക്ക് ലഭിച്ചില്ല. ഉപയോഗിക്കുന്നതിന് മുമ്പ് അത് ചാർജ് ചെയ്യണം എന്ന ഒരു പ്രധാന കുറിപ്പ് കാണുന്നതിന് മുമ്പ് ഞാൻ അത് ഉപയോഗിക്കാൻ തുടങ്ങി. എന്നെ ആരംഭിക്കാൻ ഗീക്ക് സ്ക്വാഡ് ഉപയോഗിക്കാൻ ഞാൻ പദ്ധതിയിടുന്നു. ഞാൻ സ്വന്തമായി ശ്രമിച്ചു, പക്ഷേ അത് പ്രവർത്തിപ്പിക്കുന്നതിനായി ഞാൻ തിരയുന്നത് ലഭിക്കാതെ വരുമ്പോൾ ഞാൻ നിരാശനാകും. ഒരിക്കൽ ഞാൻ അത് ഉപയോഗിക്കാൻ പഠിച്ചുകഴിഞ്ഞാൽ എന്റെ വാങ്ങലിൽ ഞാൻ സംതൃപ്തനാകുമെന്ന് എനിക്ക് ആത്മവിശ്വാസമുണ്ട്.",I did not receive any instructions on how to begin using my Kindle Fire. I started using it before I came across an important note that I should charge it before using it. I plan on utilizing the Geek Squad to get me started. I have tried on my own but get frustrated when I can't get what I'm looking for in order to operate it. I feel confident that once I learn to use it I will be satisfied with my purchase.,"I was expecting instructions on how to use my Kindle Fire, but I didn't receive any. I started using it before seeing the important note that it needs to be charged first. I was planning to use the Glee Squad to get started. I tried it on my own, but when I couldn't find the instructions to make it work, I got frustrated. Once I learned how to use it, I will be satisfied with my purchase."
210,അവളുടെ ചെറിയ കൈകൾക്ക് അനുയോജ്യമായ വലുപ്പം മാത്രമല്ല അമ്മയെപ്പോലെയാകാൻ അവൾ ഇഷ്ടപ്പെടുന്നു.,Just the right size for her smaller hands and she likes being just like momma.,She likes it because it's the perfect size for her small hands and she likes to look like mom.
211,"എന്റെ വീട്ടിലെ വൈഫൈയിലേക്ക് കണക്‌റ്റ് ചെയ്യാൻ കുറച്ച് സമയമെടുത്തു, എന്നാൽ ഇപ്പോൾ അത് സംഗീതത്തിൽ കാലതാമസമില്ലാതെ കുറ്റമറ്റ രീതിയിൽ സ്ട്രീം ചെയ്യുന്നു. എന്റെ ഉടമസ്ഥതയിലുള്ള മറ്റ് ബ്ലൂടൂത്ത് സ്പീക്കറുകൾ പോലെ ഡൈനാമിക് ശബ്ദ ശ്രേണി ഇല്ല.",Took awhile to get connected to my home wifi but now that it is it streams flawlessly with no lags in music. Doesn't have the dynamic sound range as other Bluetooth speakers i own.,"Connecting to my home Wi-Fi took a little time, but now it streams music seamlessly without any lag. Unlike my other Bluetooth speakers, it doesn't have a dynamic sound range."
212,"നിങ്ങൾക്ക് ആവശ്യമുള്ളത് സംസാരിക്കുന്നത് രസകരമാണ്, ആമസോൺ പ്രൈം ഉപയോഗിച്ച് സംസാരിച്ച് ഓർഡർ നൽകാം",It cool speak what you want and with amazon prime can just place order by talking,"It is fun to talk to what you need, you can order by talking using Amazon Prime."
213,"76 വയസ്സുള്ള എന്റെ അമ്മയ്‌ക്കായി വാങ്ങിയത്, അവൾ അത് ഇഷ്ടപ്പെടുന്നു. ഉപയോഗിക്കാൻ എളുപ്പമാണ് ഒപ്പം അവൾക്ക് എല്ലാ ആപ്പുകളും ആക്‌സസ് ചെയ്യാനും ടച്ച്‌സ്‌ക്രീൻ ഓപ്‌ഷനുകൾ ഉപയോഗിച്ച് ഒഴുകാനും കഴിയും മികച്ച ഉൽപ്പന്നം",Purchased for my 76 year old mother and she loves it. Easy to use and she can access all apps and flow with touchscreen options Great product,"I bought this for my 76-year-old mom, and she loves it. It's easy to use, and she can access all the apps and navigate through touch screen options, which is a great product."
214,"അടിസ്ഥാനപരമായി ഒരു ഇ-റീഡർ എന്ന നിലയിലാണ് ഞാൻ ഫയർ ടാബ്‌ലെറ്റ് വാങ്ങിയത്. എന്നിരുന്നാലും, ഗൂഗിൾ പ്ലേ സ്റ്റോർ എങ്ങനെ ഇൻസ്റ്റാൾ ചെയ്യാമെന്ന് കണ്ടെത്തിയതിന് ശേഷം, ഇത് വളരെ കൂടുതലാണ്. വേഗമേറിയതോ നിരയുടെ മുകളിലോ ഒന്നുമില്ല, എന്നാൽ വിലയിൽ ഒരാൾ എന്താണ് പ്രതീക്ഷിക്കുന്നത്. ഖേദമില്ല!","I purchased the Fire Tablet basically as an e-reader. However, after finding out how to install the Google Play Store, it is much more. Nothing speedy or top of the line, but what would one expect for the price. No regrets!","I bought the Fire tablet basically as an e-reader. However, after finding out how to install the Google Play Store, it's a lot more. It's not fast or top of the line, but for the price, one can expect that. No complaints!"
215,"എക്കോയെ തികച്ചും ഇഷ്‌ടപ്പെടുന്നു, ഞാൻ 3 ഡോട്ടുകളും വാങ്ങി.","Absolutely love the Echo, I purchased 3 Dots also.","I love Echo, I also bought 3 Dots."
216,അലക്സ ഇപ്പോൾ ഒരു നല്ല സുഹൃത്താണ്. പ്രൈം മ്യൂസിക്കിനൊപ്പം ഇത് നിരന്തരമായ വിനോദം നൽകുന്നു.,Alexa is now a great friend. Coupled with prime music it provides constant entertainment.,"Alexa is now a good friend. This, along with Prime Music, provides continuous entertainment."
217,വെബ് ഉപയോഗിക്കാൻ എളുപ്പമാക്കുന്നതിനുള്ള ഒരു മികച്ച മാർഗം. ഇതിനെ സ്നേഹിക്കുക!,A great way to make the web easier to use. Love it!,A great way to make web use easy. I love it!
218,ഇത് എങ്ങനെ ഉപയോഗിക്കണമെന്ന് ഞാൻ മനസ്സിലാക്കിക്കഴിഞ്ഞാൽ അത് ഉപയോഗിക്കുമെന്ന് ഞാൻ പ്രതീക്ഷിക്കുന്നു. ഞാന് ശ്രമിക്കുകയാണ്.,I hope to use it once I figure out how to use it. I am trying.,I understand how to use it once I figure it out. I'm going to try.
219,ഞാൻ സമ്മാനമായി നൽകിയ ഈ ഉൽപ്പന്നം ഞാൻ ഉപയോഗിച്ചിട്ടില്ല.,I did not use this product I gave it as a present.,I haven't used the gift I gave.
220,"കുട്ടികൾക്ക് ഏറ്റവും മികച്ചത്. കുട്ടികൾ മുതൽ കൗമാരക്കാർ വരെയുള്ളവർക്കായി മൂന്ന് വാങ്ങി, ഇത് ഓരോരുത്തർക്കും അനുയോജ്യമാണ്.",Absolute best for kids. Bought three for ages toddler to teen and it's perfect for each.,Kids love it. I bought three for kids from toddlers to teenagers and it suits each one of them.
