index,manglish,eng,mal,gpt5_fewshot
231,ഞങ്ങളുടെ tablets എല്ലാം love ചെയ്യുന്നു. വാങ്ങിയതിനു ശേഷം ഉപയോഗം നിർത്തിയിട്ടില്ല.,I love EVERYTHING about our tablets. We haven't put them done since purchasing them.,ഞങ്ങളുടെ ടാബ്‌ലെറ്റുകളെ കുറിച്ചുള്ള എല്ലാ കാര്യങ്ങളും ഞാൻ ഇഷ്ടപ്പെടുന്നു. അവ വാങ്ങിയതിനുശേഷം ഞങ്ങൾ അവ പൂർത്തിയാക്കിയിട്ടില്ല.,We love all our tablets. We have not stopped using them since buying.
232,"very powerful book reader ആണ്, എത്ര books ഉണ്ടായാലും ഒരു small light unit മാത്രം carry ചെയ്യുന്നു","Very powerful book! Regardless of the no. of books I purchased, I only carry 1 small, light unit!","വളരെ ശക്തമായ പുസ്തകം! നമ്പർ പരിഗണിക്കാതെ. ഞാൻ വാങ്ങിയ പുസ്‌തകങ്ങളിൽ, 1 ചെറിയ, ലൈറ്റ് യൂണിറ്റ് മാത്രമേ ഞാൻ കരുതുന്നുള്ളൂ!",It is a very powerful book reader. You can carry many books in a small light unit.
233,"smart thermostats, lights എന്നിവയിലേക്ക് link ചെയ്യുന്നതിനാൽ ഇത് great smart home addition ആണ്. very informative ആണ്, add ons amazing ആണ്. highly recommend ചെയ്യുന്നു.","Makes a great smart home addition as it links to smart thermostats, lights, etc. Very informative and the different add ons are amazing! Highly recommended.","സ്‌മാർട്ട് തെർമോസ്‌റ്റാറ്റുകൾ, ലൈറ്റുകൾ മുതലായവയിലേക്ക് ലിങ്ക് ചെയ്‌തിരിക്കുന്നതിനാൽ മികച്ച സ്‌മാർട്ട് ഹോം കൂട്ടിച്ചേർക്കൽ ഉണ്ടാക്കുന്നു. വളരെ വിജ്ഞാനപ്രദവും വ്യത്യസ്‌ത ആഡ്‌ഓണുകൾ അതിശയകരവുമാണ്! അതിയായി ശുപാര്ശ ചെയ്യുന്നത്.",It is a great smart home addition as it links to smart thermostats and lights. Very informative and add-ons are amazing. Highly recommend.
234,"price ന് great tablet ആണ്, $39 sale ൽ വാങ്ങി, Bluetooth ഉണ്ടെന്ന് surprise ആയി.","Great tablet for the price. Got it on sale for $39. To my surprise, it has bluetooth.","വിലയ്ക്ക് മികച്ച ടാബ്‌ലെറ്റ്. $39-ന് ഇത് വിൽപ്പനയ്‌ക്ക് ലഭിച്ചു. എന്നെ അത്ഭുതപ്പെടുത്തി, അതിൽ ബ്ലൂടൂത്ത് ഉണ്ട്.",It is a great tablet for the price. Bought for $39 on sale and was surprised it has Bluetooth.
235,"എനിക്ക് warranty offer ചെയ്തില്ല, പക്ഷേ ഞാൻ ഇത് വളരെ enjoy ചെയ്യുന്നു.","I wasn't offer the warranty, but I enjoy it a lot.","എനിക്ക് വാറന്റി വാഗ്ദാനം ചെയ്തില്ല, പക്ഷേ ഞാൻ അത് ഒരുപാട് ആസ്വദിക്കുന്നു.","I was not offered a warranty, but I enjoy it very much."
236,"Black Friday price ന് tablet not bad ആണ്, Netflix streaming സമയത്ത് occasional pause പ്രശ്നമാണ്.",The tablet is not bad at all for the price I paid during Black Friday. The only issue for me is the occasional pausing during streaming on netflix,ബ്ലാക്ക് ഫ്രൈഡേ സമയത്ത് ഞാൻ നൽകിയ വിലയ്ക്ക് ടാബ്‌ലെറ്റ് ഒട്ടും മോശമല്ല. നെറ്റ്ഫ്ലിക്സിൽ സ്ട്രീമിംഗ് സമയത്ത് ഇടയ്ക്കിടെ താൽക്കാലികമായി നിർത്തുന്നത് മാത്രമാണ് എനിക്ക് പ്രശ്നം,The tablet is not bad for the Black Friday price. There is occasional pause during Netflix streaming.
237,Pandora ഉം Amazon music ഉം കേൾക്കാൻ great product ആണ്.,This is great product for listening to Pandora and amazon music.,പണ്ടോറയും ആമസോൺ സംഗീതവും കേൾക്കുന്നതിനുള്ള മികച്ച ഉൽപ്പന്നമാണിത്.,It is a great product for listening to Pandora and Amazon Music.
238,"Kindle Fire features എല്ലാം explore ചെയ്തിട്ടില്ല, sound reset ആവുന്നത് problem ആണ്, always max volume വേണം, ഓരോ തവണയും reset ചെയ്യണം, help വേണം.",I have not explored all the features of the kindle fire tablet yet. Why does the sound always have to be reset each time? I want it to stay on full sound maximum loudness always. I have to reset it each time I fire it up to listen to music. What's up with that? Please direct me someone!!!,കിൻഡിൽ ഫയർ ടാബ്‌ലെറ്റിന്റെ എല്ലാ സവിശേഷതകളും ഞാൻ ഇതുവരെ പര്യവേക്ഷണം ചെയ്തിട്ടില്ല. എന്തുകൊണ്ടാണ് ഓരോ തവണയും ശബ്‌ദം പുനഃസജ്ജമാക്കേണ്ടത്? അത് എല്ലായ്‌പ്പോഴും പൂർണ്ണ ശബ്‌ദത്തിൽ പരമാവധി ഉച്ചത്തിൽ തുടരണമെന്ന് ഞാൻ ആഗ്രഹിക്കുന്നു. ഓരോ തവണയും സംഗീതം കേൾക്കാൻ ഞാൻ അത് പുനഃക്രമീകരിക്കണം. അതിന് എന്ത് പറ്റി? ദയവായി ആരെങ്കിലും എന്നെ നയിക്കൂ!!!,I have not explored all features of Kindle Fire. Sound resetting is a problem. It always needs max volume and resets each time. Need help.
239,"speaker വേണ്ടിയായിരുന്നു, Echo കൂടുതൽ ചെയ്യുന്നു, speaker മാത്രമല്ല, shopping list, home control, encyclopedia, news source, definitely recommend.","We were searching for a speaker and considered one which would be louder, but the Echo does so much. She is a speaker, but also a shopping list, whole-home control, encyclopedia, news source, etc. I would definitely recommend.","ഞങ്ങൾ ഒരു സ്പീക്കറിനായി തിരയുകയായിരുന്നു, അത് ഉച്ചത്തിലുള്ള ഒന്നായി പരിഗണിക്കപ്പെട്ടു, എന്നാൽ എക്കോ വളരെയധികം ചെയ്യുന്നു. അവൾ ഒരു സ്പീക്കറാണ്, മാത്രമല്ല ഒരു ഷോപ്പിംഗ് ലിസ്റ്റ്, ഹോം കൺട്രോൾ, എൻസൈക്ലോപീഡിയ, വാർത്താ ഉറവിടം മുതലായവ. ഞാൻ തീർച്ചയായും ശുപാർശചെയ്യും.","I wanted a speaker, but Echo does more. Not just a speaker, but shopping list, home control, encyclopedia, and news source. Definitely recommend."
240,"എന്റെ മകൾക്ക് ഈ tablet love ആണ്. easy to use, great battery life ഉണ്ട്.",My daughter loves this tablet. Easy to use and great battery life.,എന്റെ മകൾക്ക് ഈ ടാബ്‌ലെറ്റ് ഇഷ്ടമാണ്. ഉപയോഗിക്കാൻ എളുപ്പവും മികച്ച ബാറ്ററി ലൈഫും.,My daughter loves this tablet. It is easy to use and has great battery life.
241,"9 year old ന് easy use ആണ്, family എല്ലാവർക്കും work ചെയ്യുന്നു, value good ആണ്.",This is very easy for my 9-year old to use. It also works well for people of all ages in our family and it was a very good value.,"എന്റെ 9 വയസ്സുള്ള കുട്ടിക്ക് ഇത് ഉപയോഗിക്കാൻ വളരെ എളുപ്പമാണ്. ഞങ്ങളുടെ കുടുംബത്തിലെ എല്ലാ പ്രായത്തിലുമുള്ള ആളുകൾക്കും ഇത് നന്നായി പ്രവർത്തിക്കുന്നു, മാത്രമല്ല ഇത് വളരെ നല്ല മൂല്യവുമായിരുന്നു.",It is easy for a 9-year-old to use. Works for the whole family and has good value.
242,"special needs children വേണ്ടി better info വേണം. kids YouTube confusing ആണ്, പക്ഷേ guarantee ഇഷ്ടമാണ്.",Need to have better info for special needs children. The kids utube is confusing but love the guarantee,"പ്രത്യേക പരിഗണന അർഹിക്കുന്ന കുട്ടികൾക്കായി മെച്ചപ്പെട്ട വിവരങ്ങൾ ഉണ്ടായിരിക്കണം. കുട്ടികളുടെ യൂട്യൂബ് ആശയക്കുഴപ്പമുണ്ടാക്കുന്നു, പക്ഷേ ഗ്യാരണ്ടി ഇഷ്ടപ്പെടുന്നു","Needs better information for special needs children. Kids YouTube is confusing, but I like the guarantee."
243,ഏത് TV യെയും smart TV ആക്കുന്നു. lightning fast 4 gig processor ഉണ്ട്.,Makes any tv a smart tv! Lightning fast 4 gig processor.,ഏത് ടിവിയെയും സ്മാർട്ട് ടിവി ആക്കുന്നു! മിന്നൽ വേഗതയുള്ള 4 ഗിഗ് പ്രൊസസർ.,It makes any TV a smart TV. It has a lightning fast 4 gig processor.
244,Kindle paperbook replace ചെയ്യാൻ very portable reader ആണ്.,Kindle is a very portable reader to replace paperbook.,പേപ്പർബുക്ക് മാറ്റിസ്ഥാപിക്കാൻ കിൻഡിൽ വളരെ പോർട്ടബിൾ റീഡറാണ്.,It is a very portable reader to replace a Kindle paperbook.
245,great item ആണ് hands busy ആയാൽ Alexaയോട് weather sports songs ചോദിക്കാം without touch,"great item, if my hands are tied up, I can ask alexa about the weather or sports even songs with out the touch of a button","മികച്ച ഇനം, എന്റെ കൈകൾ കെട്ടിയിട്ടിട്ടുണ്ടെങ്കിൽ, ഒരു ബട്ടണിൽ തൊടാതെ എനിക്ക് കാലാവസ്ഥയെക്കുറിച്ചോ സ്പോർട്സ് പാട്ടുകളെക്കുറിച്ചോ അലക്സയോട് ചോദിക്കാം","It is a great item. If your hands are busy, you can ask Alexa about weather, sports, and songs without touch."
246,"ഓ ഞാൻ ഈ product എത്ര ഇഷ്ടപ്പെടുന്നു. എന്റെ new Kindle Fire ഉപയോഗിച്ച് solitaire കളിക്കാനും novels വായിക്കാനും music കേൾക്കാനും ഞാൻ hours ചെലവഴിക്കുന്നു. എന്റെ old Kindle ഞാൻ trade ചെയ്തു, അത് എനിക്കും ഇഷ്ടമായിരുന്നു, പക്ഷേ ഇത് little larger ഉം more features ഉള്ളതുമാണ്, അവയിൽ പലതും ഞാൻ ഇതുവരെ ഉപയോഗിച്ചിട്ടില്ല. ഞാൻ കൂടുതൽ pleased ആയിരിക്കാനാവില്ല","Oh how I love this product. I spend hours playing solitaire, reading novels, listening to music all provided by my new Kindle Fire! I traded in my old Kindle which I also loved but this new one is a little larger and has more features many of which I haven't used yet. I couldn't be more pleased!","ഓ, ഞാൻ ഈ ഉൽപ്പന്നം എങ്ങനെ ഇഷ്ടപ്പെടുന്നു. എന്റെ പുതിയ കിൻഡിൽ ഫയർ നൽകുന്ന സോളിറ്റയർ കളിക്കാനും നോവലുകൾ വായിക്കാനും സംഗീതം കേൾക്കാനും ഞാൻ മണിക്കൂറുകൾ ചെലവഴിക്കുന്നു! ഞാൻ എന്റെ പഴയ കിൻഡിൽ ട്രേഡ് ചെയ്തു, അത് എനിക്കും ഇഷ്ടമാണ്, എന്നാൽ ഇത് അൽപ്പം വലുതും കൂടുതൽ സവിശേഷതകളുള്ളതുമാണ്, അവയിൽ പലതും ഞാൻ ഇതുവരെ ഉപയോഗിച്ചിട്ടില്ല. എനിക്ക് കൂടുതൽ സന്തോഷിക്കാൻ കഴിഞ്ഞില്ല!","I love this product so much. I spend hours playing solitaire, reading novels, and listening to music on my new Kindle Fire. I traded my old Kindle, which I also liked, but this one is a little larger and has more features, many of which I have not used yet. I could not be more pleased."
247,"ഞാൻ എന്റെ Kindle Fire love ചെയ്യുന്നു, അത് need ചെയ്തതിലും more ചെയ്യുന്നു.",I'm loving my kindle fire. It does everything I need it to do and more.,ഞാൻ എന്റെ ജ്വലിക്കുന്ന തീയെ സ്നേഹിക്കുന്നു. എനിക്ക് ചെയ്യേണ്ടതും അതിലേറെയും അത് ചെയ്യുന്നു.,I love my Kindle Fire. It does more than I needed.
248,"love ചെയ്യുന്നു, ഇപ്പോൾ എല്ലായ്പ്പോഴും reading ചെയ്യുന്നു, മുൻപ് ഇത്ര വായിച്ചിട്ടില്ല",Love it. I am reading all the time now! And I never used to read so much.,ഇതിനെ സ്നേഹിക്കുക. ഞാൻ ഇപ്പോൾ മുഴുവൻ വായിക്കുന്നു! പിന്നെ ഞാൻ ഇത്രയധികം വായിച്ചിട്ടില്ല.,"I love it. I read all the time now, I did not read this much before."
249,"screen adequate ആണ്, service reliable ആണ്. gift ആയതിനാൽ use ചെയ്തില്ല. elderly lady use ചെയ്യാൻ കഴിഞ്ഞില്ല. ഇപ്പോഴും എന്റെ কাছে ഉണ്ട്, primary tablet ന് backup ആണ്.","The screen is adequate and the service is reliable. I did not play with it much due to it being a gift. Sadly the person it was purchased for was unable to hold onto it long enough to use it (elderly lady). I still have it though, and it's a great little backup to my primary tablet.","സ്‌ക്രീൻ മതിയായതും സേവനം വിശ്വസനീയവുമാണ്. ഗിഫ്റ്റ് ആയതിനാൽ അധികം കളിച്ചില്ല. ഖേദകരമെന്നു പറയട്ടെ, അത് വാങ്ങിയ വ്യക്തിക്ക് അത് ഉപയോഗിക്കാൻ കഴിയുന്നത്ര നേരം പിടിക്കാൻ കഴിഞ്ഞില്ല (പ്രായമായ സ്ത്രീ). എന്നാലും എന്റെ പക്കൽ ഇപ്പോഴും ഉണ്ട്, ഇത് എന്റെ പ്രാഥമിക ടാബ്‌ലെറ്റിലേക്കുള്ള ഒരു ചെറിയ ബാക്കപ്പാണ്.","The screen is adequate and service is reliable. Since it was a gift, I did not use it. An elderly lady could not use it. I still have it as a backup for my primary tablet."
250,so far very satisfied ആണ്. easy to use great price ആണ്,Very satisfied so far. Easy to use and great price,ഇതുവരെ വളരെ തൃപ്തിയായി. ഉപയോഗിക്കാൻ എളുപ്പവും വലിയ വിലയും,So far very satisfied. It is easy to use and a great price.
251,remote controller install operate easy ആണ്,Easy peasy to install and operate remote controller!,റിമോട്ട് കൺട്രോളർ ഇൻസ്റ്റാൾ ചെയ്യാനും പ്രവർത്തിപ്പിക്കാനും എളുപ്പമാണ്!,The remote controller is easy to install and operate.
252,"very inexpensive ആണ്, boys വേണ്ടി വേണ്ടതെല്ലാം ചെയ്യുന്നു.",Really inexpensive and does everything I need it to for my boys!,ശരിക്കും വിലകുറഞ്ഞതും എന്റെ ആൺകുട്ടികൾക്കായി എനിക്ക് ആവശ്യമുള്ളതെല്ലാം ചെയ്യുന്നു!,It is very inexpensive and does everything needed for boys.
253,"tablet everything ചെയ്യുന്നു, screen good ആണ്, expandable storage awesome ആണ്. apps selection limited ആണ്, പക്ഷേ issue ഇല്ല.",This tablet does everything that we need it to do. The screen looks really good and it doesn't seem to be under powered. The expandable storage feature is awesome if you want to store music and movies on it. The only thing that is a negative is the limited selection of apps for it. I knew about it before I bought it and it hasn't been an issue yet.,"ഈ ടാബ്‌ലെറ്റ് നമുക്ക് ആവശ്യമുള്ളതെല്ലാം ചെയ്യുന്നു. സ്‌ക്രീൻ വളരെ മികച്ചതായി തോന്നുന്നു, അത് പവർ ചെയ്തിട്ടില്ലെന്ന് തോന്നുന്നു. നിങ്ങൾക്ക് സംഗീതവും സിനിമകളും സംഭരിക്കാൻ താൽപ്പര്യമുണ്ടെങ്കിൽ വികസിപ്പിക്കാവുന്ന സ്റ്റോറേജ് ഫീച്ചർ ആകർഷണീയമാണ്. അതിനുള്ള ആപ്ലിക്കേഷനുകളുടെ പരിമിതമായ തിരഞ്ഞെടുപ്പ് മാത്രമാണ് നെഗറ്റീവ് ആയ ഒരേയൊരു കാര്യം. ഞാൻ അത് വാങ്ങുന്നതിന് മുമ്പ് അതിനെക്കുറിച്ച് എനിക്കറിയാമായിരുന്നു, അത് ഇതുവരെ ഒരു പ്രശ്നമായിട്ടില്ല.","The tablet does everything. The screen is good and expandable storage is awesome. App selection is limited, but it is not an issue."
254,"tablet use ചെയ്യാത്ത എന്റെ mother വേണ്ടി ഇത് വാങ്ങി, ഇപ്പോൾ തന്നെ അവൾ ഇത് love ചെയ്യുന്നു, retirement ശേഷം സമയം spend ചെയ്യാൻ ഇത് help ചെയ്യുന്നു.",Bought this for my mother who has not used a tablet often and already she loves it and it helps to occupy her time since she has retired.,"പലപ്പോഴും ടാബ്‌ലെറ്റ് ഉപയോഗിക്കാത്ത എന്റെ അമ്മയ്‌ക്കായി ഇത് വാങ്ങി, ഇതിനകം അവൾ ഇത് ഇഷ്ടപ്പെടുന്നു, മാത്രമല്ല അവൾ വിരമിച്ചതിന് ശേഷം അവളുടെ സമയം ചെലവഴിക്കാൻ ഇത് സഹായിക്കുന്നു.","I bought this for my mother who does not use tablets, and she already loves it. It helps her spend time after retirement."
255,"8 year old daughter ന് great ആണ്, അവൾ ഇത് love ചെയ്യുന്നു, Christmas ൽ കിട്ടി, daily use ചെയ്യുന്നു.",Great for my 8 year old she loves it. She got it for christmas and plays with it everyday.,"എന്റെ 8 വയസ്സുള്ള കുട്ടിക്ക് അവൾ അത് ഇഷ്ടപ്പെടുന്നു. അവൾ അത് ക്രിസ്മസിന് ലഭിച്ചു, എല്ലാ ദിവസവും അത് കളിക്കുന്നു.","It is great for my 8-year-old daughter. She loves it, got it for Christmas, and uses it daily."
256,"tablet ആദ്യത്തിൽ ഇഷ്ടപ്പെട്ടു, പക്ഷേ lot of settings change ചെയ്യേണ്ടി വന്നു. works good ആണ്, പക്ഷേ ads എനിക്ക് ഇഷ്ടപ്പെട്ടില്ല",I started out liking the tablet but having to change a lot of the settings. It works good but I really did not like the advertisements that were appearing.,"ഞാൻ ടാബ്‌ലെറ്റ് ഇഷ്ടപ്പെടാൻ തുടങ്ങി, പക്ഷേ ഒരുപാട് ക്രമീകരണങ്ങൾ മാറ്റേണ്ടി വന്നു. ഇത് നന്നായി പ്രവർത്തിക്കുന്നു, പക്ഷേ പ്രത്യക്ഷപ്പെടുന്ന പരസ്യങ്ങൾ എനിക്ക് ശരിക്കും ഇഷ്ടപ്പെട്ടില്ല.","I liked the tablet at first, but had to change a lot of settings. It works well, but I did not like the ads."
257,"Black Friday ൽ Amazon Fire tablet $33 ന് വാങ്ങി, expectations exceed ചെയ്തു. useless apps remove ചെയ്തതിന് ശേഷം 13 yr old ന് set ചെയ്തു, വീണ്ടും വാങ്ങും","I purchased the Amazon Fire tablet for $33.00 during black Friday and it has exceeded my expectations. Once I cleared all the clutter of useless apps, I was able to set it up just right for my 13 yr old son. Would definitely purchases again.","ബ്ലാക്ക് ഫ്രൈഡേ സമയത്ത് ഞാൻ ആമസോൺ ഫയർ ടാബ്‌ലെറ്റ് $33.00-ന് വാങ്ങി, അത് എന്റെ പ്രതീക്ഷകൾ കവിഞ്ഞു. ഉപയോഗശൂന്യമായ ആപ്പുകളുടെ എല്ലാ അലങ്കോലങ്ങളും ഞാൻ മായ്‌ച്ചുകഴിഞ്ഞാൽ, എന്റെ 13 വയസ്സുള്ള മകന് അത് കൃത്യമായി സജ്ജീകരിക്കാൻ എനിക്ക് കഴിഞ്ഞു. തീർച്ചയായും വീണ്ടും വാങ്ങും.","Bought the Amazon Fire tablet for $33 on Black Friday and it exceeded expectations. After removing useless apps, I set it up for my 13-year-old. I will buy again."
258,"എന്റെ Amazon box love ചെയ്യുന്നു. easy to use ആണ്, good internet ഉണ്ടെങ്കിൽ buffering ഇല്ല. Apple TV compare ചെയ്തപ്പോൾ ഇത് better purchase ആണ്.","I love my Amazon box!! It's easy to use and with the right internet connection, there's no buffing or waiting for movies to download. I compared it to the Apple TV & for the overall money, this was the better purchase.","ഞാൻ എന്റെ ആമസോൺ ബോക്സ് ഇഷ്ടപ്പെടുന്നു !! ഇത് ഉപയോഗിക്കാൻ എളുപ്പമാണ് കൂടാതെ ശരിയായ ഇന്റർനെറ്റ് കണക്ഷൻ ഉപയോഗിച്ച്, സിനിമകൾ ഡൗൺലോഡ് ചെയ്യുന്നതിനായി ബഫിംഗ് അല്ലെങ്കിൽ കാത്തിരിപ്പ് ഇല്ല. ഞാൻ ഇത് ആപ്പിൾ ടിവിയുമായി താരതമ്യം ചെയ്തു & മൊത്തത്തിലുള്ള പണത്തിന്, ഇത് മികച്ച വാങ്ങലായിരുന്നു.","I love my Amazon box. It is easy to use and there is no buffering with good internet. Compared to Apple TV, this is a better purchase."
259,ഞാൻ iPad മാത്രം ഉപയോഗിച്ചിരുന്നുവെങ്കിലും Android tablet വേണമായിരുന്നു you get what you pay for build quality price match ആണ് ads annoying ആണ്,"Full disclosure, I've only had iPads in the past. I needed an android based tablet as a 3rd party app that I needed was yet IOS supported. You get what you pay for. Build quality, touch and feel, yes it's equal to the price. Constant adds urging you to make various Amazon based purchases...not my cup of tea but I guess fills a price point and need.","പൂർണ്ണമായ വെളിപ്പെടുത്തൽ, എനിക്ക് മുമ്പ് ഐപാഡുകൾ മാത്രമേ ഉണ്ടായിരുന്നുള്ളൂ. ഒരു മൂന്നാം കക്ഷി ആപ്പ് എന്ന നിലയിൽ എനിക്ക് ഒരു ആൻഡ്രോയിഡ് അധിഷ്‌ഠിത ടാബ്‌ലെറ്റ് ആവശ്യമായിരുന്നു, അത് ഇപ്പോഴും IOS പിന്തുണയ്‌ക്കുന്നില്ല. നിങ്ങൾ കൊടുക്കുന്നത് നിങ്ങൾക്ക് ലഭിക്കും. ബിൽഡ് ക്വാളിറ്റി, സ്പർശനം, അനുഭവം, അതെ ഇത് വിലയ്ക്ക് തുല്യമാണ്. ആമസോൺ അടിസ്ഥാനമാക്കിയുള്ള വിവിധ വാങ്ങലുകൾ നടത്താൻ നിങ്ങളെ പ്രേരിപ്പിക്കുന്ന കോൺസ്റ്റന്റ് ചേർക്കുന്നു...എന്റെ കപ്പ് ചായയല്ല, പക്ഷേ വിലയും ആവശ്യവും നിറയ്ക്കുമെന്ന് ഞാൻ ഊഹിക്കുന്നു.","I had only used an iPad, but wanted an Android tablet. You get what you pay for. Build quality matches the price and ads are annoying."
260,"Amazon echo wonderful product ആണ്, എല്ലാവർക്കും recommend ചെയ്യും",The Amazon echo is a wonderful product and I would recommend it to everyone.,"ആമസോൺ എക്കോ ഒരു അത്ഭുതകരമായ ഉൽപ്പന്നമാണ്, ഞാൻ ഇത് എല്ലാവരോടും ശുപാർശചെയ്യും.",Amazon Echo is a wonderful product and I recommend it to everyone.
261,"ഞങ്ങളുടെ child നായി inexpensive tablet അന്വേഷിച്ചു, sale ൽ വാങ്ങി, screen protector, child case വാങ്ങി. well work ചെയ്തു, daily limits set ചെയ്യാം, വീണ്ടും വാങ്ങും",Was looking for an inexpensive tablet for our child. Got this while on sale and ordered a screen protector and child case. Has worked well. Can set daily limits to prevent them from using to much. Would buy again.,"ഞങ്ങളുടെ കുട്ടിക്കായി വിലകുറഞ്ഞ ഒരു ടാബ്‌ലെറ്റിനായി തിരയുകയായിരുന്നു. വിൽപ്പനയ്‌ക്കിടെ ഇത് ലഭിച്ചു, ഒരു സ്‌ക്രീൻ പ്രൊട്ടക്ടറും ചൈൽഡ് കേസും ഓർഡർ ചെയ്തു. നന്നായി പ്രവർത്തിച്ചിട്ടുണ്ട്. കൂടുതൽ ഉപയോഗിക്കുന്നതിൽ നിന്ന് അവരെ തടയാൻ ദൈനംദിന പരിധികൾ സജ്ജമാക്കാൻ കഴിയും. വീണ്ടും വാങ്ങും.","We were looking for an inexpensive tablet for our child and bought it on sale. We also bought a screen protector and child case. It worked well, daily limits can be set, and I will buy again."
262,"ഞാൻ ഒരെണ്ണം വാങ്ങി, പിന്നെ മറ്റൊന്ന് എന്റെ niece നായി വാങ്ങി. അവൾ love ചെയ്യുന്നു. games കളിക്കുന്നു, reading ചെയ്യുന്നു, emails check ചെയ്യുന്നു","I bought one of these and then bought another for my neice. She loves it. Plays games, reads, checks emails.","ഞാൻ ഇതിൽ ഒരെണ്ണം വാങ്ങി, പിന്നെ മറ്റൊന്ന് എന്റെ പാവത്തിന് വാങ്ങി. അവൾ അത് ഇഷ്ടപ്പെടുന്നു. ഗെയിമുകൾ കളിക്കുന്നു, വായിക്കുന്നു, ഇമെയിലുകൾ പരിശോധിക്കുന്നു.","I bought one and then another for my niece. She loves it. She plays games, reads, and checks emails."
263,"എന്റെ father 60s ൽ ആയതിനാൽ tablet ഇല്ലാത്തതിനാൽ ഞാൻ ഇത് വാങ്ങി. അവൻ ഇത് love ചെയ്യുന്നു, അവന്റെ എല്ലാ needs നും works ചെയ്യുന്നു",Bought this for my father as he is in his 60s and never had a tablet before. He loves it and it works for all his needs.,"എന്റെ പിതാവിന് 60 വയസ്സുള്ളതിനാലും മുമ്പ് ടാബ്‌ലെറ്റ് ഇല്ലാതിരുന്നതിനാലും ഇത് വാങ്ങി. അവൻ അത് ഇഷ്ടപ്പെടുന്നു, അവന്റെ എല്ലാ ആവശ്യങ്ങൾക്കും അത് പ്രവർത്തിക്കുന്നു.","My father is in his 60s and did not have a tablet, so I bought this. He loves it and it works for all his needs."
264,"new Kindle love ചെയ്യുന്നു, login ചെയ്താൽ books എല്ലാം sync ആയി, excellent purchase ആണ്.","Love my new Kindle! Only had to login, and all my books were there from older Kindle...Excellant Purchase!!","എന്റെ പുതിയ കിൻഡിൽ ഇഷ്ടപ്പെടുക! ലോഗിൻ ചെയ്യേണ്ടതേയുള്ളൂ, എന്റെ എല്ലാ പുസ്‌തകങ്ങളും പഴയ കിൻഡിൽ...എക്‌സലന്റ് പർച്ചേസ്!!","I love the new Kindle. Once logged in, all books sync. It is an excellent purchase."
265,"Alexa fabulous ആണ്, anything ചോദിച്ചാൽ answer നൽകും, pizza order, lights on, Uber order ചെയ്യാം, secretary നേക്കാൾ better.","Alexa is fabulous. Just ask her anything and she will answer right away. She can order a pizza, turn on your lights and order an uber. Better than a secretary.","അലക്സ അതിമനോഹരമാണ്. അവളോട് എന്തും ചോദിച്ചാൽ മതി, അവൾ ഉടൻ ഉത്തരം നൽകും. അവൾക്ക് ഒരു പിസ്സ ഓർഡർ ചെയ്യാനും നിങ്ങളുടെ ലൈറ്റുകൾ ഓണാക്കാനും ഒരു യൂബർ ഓർഡർ ചെയ്യാനും കഴിയും. സെക്രട്ടറിയേക്കാൾ നല്ലത്.","Alexa is fabulous. It answers anything, can order pizza, turn on lights, and order Uber. Better than a secretary."
266,"phone ൽ movies കാണുകയായിരുന്നു, ഇപ്പോൾ tablet ൽ watch ചെയ്യുമ്പോൾ awesome ആണ്.",all i can say it is awesome she was watching movies on her phone now she watch them on her tablet,"അവൾ ഫോണിൽ സിനിമകൾ കാണുകയായിരുന്നു, ഇപ്പോൾ ടാബ്‌ലെറ്റിൽ അവ കാണുമ്പോൾ അത് ഗംഭീരമാണെന്ന് എനിക്ക് പറയാൻ കഴിയും","I used to watch movies on my phone, but watching on a tablet now is awesome."
267,"കുറച്ചു കാലമായി use ചെയ്യുന്നു, wonderful ആണ്, മറ്റൊരു tablet ഉണ്ടെങ്കിലും reading ന് Kindle മാത്രം use ചെയ്യുന്നു, extremely well work ചെയ്യുന്നു, Amazon Prime ഉപയോഗിക്കുന്നവർക്ക് no brainer ആണ്.",I have been using this for a bit now. It's wonderful. I also have another tablet but use the kindle exclusively for reading. The kindle works extremely. If you use amazon prime this is a no brainer.,"ഞാൻ ഇത് കുറച്ചു കാലമായി ഉപയോഗിക്കുന്നു. ഇത് മനോഹരമാണ്. എനിക്ക് മറ്റൊരു ടാബ്‌ലെറ്റും ഉണ്ട്, പക്ഷേ വായനയ്ക്കായി മാത്രം കിൻഡിൽ ഉപയോഗിക്കുന്നു. കിൻഡിൽ അങ്ങേയറ്റം പ്രവർത്തിക്കുന്നു. നിങ്ങൾ ആമസോൺ പ്രൈം ഉപയോഗിക്കുകയാണെങ്കിൽ ഇത് ഒരു ബുദ്ധിശൂന്യമാണ്.","I have been using it for some time. It is wonderful. Even though I have another tablet, I use only Kindle for reading. It works extremely well and is a no-brainer for Amazon Prime users."
